"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"11/14/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2506,2199,2857,,,,,,,2493,2161,2875,,,,,,
"11/15/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2869,2421,3399,,,,,,,,,,,,,,,
"11/16/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3328,2361,4692,,,,,,,,,,,,,,,
"11/17/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2772,2054,3742,,,,,,,,,,,,,,,
"11/18/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"11/19/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2401,2109,2734,,,,,,,,,,,,,,,
"11/20/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2290,1914,2739,,,,,,,,,,,,,,,
"11/21/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2494,1906,3261,,,,,,,,,,,,,,,
"11/22/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2637,2154,3230,,,,,,,,,,,,,,,
"11/23/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2567,2039,3231,,,,,,,,,,,,,,,
"11/24/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2570,2104,3140,,,,,,,,,,,,,,,
"11/25/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2280,1875,2772,,,,,,,,,,,,,,,
"11/26/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"11/27/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2661,2165,3271,,,,,,,,,,,,,,,
"11/28/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2647,2239,3130,,,,,,,,,,,,,,,
"11/29/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2599,2156,3132,,,,,,,,,,,,,,,
"11/30/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3024,2282,4008,,,,,,,,,,,,,,,
"12/01/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3012,2173,4175,,,,,,,,,,,,,,,
"12/02/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/03/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2771,2114,3632,,,,,,,2289,2060,2543,,,,,,
"12/04/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/05/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/06/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2683,2303,3126,,,,,,,,,,,,,,,
"12/07/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3419,2288,5109,,,,,,,,,,2818,2074,3827,,,
"12/08/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3059,2463,3797,,,,,,,,,,,,,,,
"12/09/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/10/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"12/11/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2424,1767,3325,,,,,,,,,,,,,,,
"12/12/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2438,2030,2928,,,,,,,,,,,,,,,
"12/13/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2295,2127,2477,,,,,,,,,,,,,,,
"12/14/2017","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2837,2051,3924,,,,,,,,,,2553,2132,3058,,,
